city,iyear,imonth,nkill,incident_count,future_incidents,prev_incidents,rolling_incidents
Anantnag,1990,1,0.0,2,3.0,1.0,1.3333333333333333
Anantnag,1990,3,4.0,3,1.0,2.0,2.0
Anantnag,1990,4,4.0,1,2.0,3.0,2.0
Anantnag,1990,5,8.0,2,1.0,1.0,2.0
Anantnag,1990,7,1.0,1,1.0,2.0,1.3333333333333333
Anantnag,1990,8,0.0,1,1.0,1.0,1.3333333333333333
Anantnag,1992,4,7.0,1,1.0,1.0,1.0
Anantnag,1994,6,1.0,1,1.0,1.0,1.0
Anantnag,1996,2,11.0,1,1.0,1.0,1.0
Anantnag,1996,6,5.0,1,1.0,1.0,1.0
Anantnag,1996,8,14.0,1,5.0,1.0,1.0
Anantnag,1996,9,0.0,5,1.0,1.0,2.3333333333333335
Anantnag,1998,11,1.0,1,2.0,5.0,2.3333333333333335
Anantnag,1999,7,12.0,2,1.0,1.0,2.6666666666666665
Anantnag,1999,12,0.0,1,1.0,2.0,1.3333333333333333
Anantnag,2000,4,0.0,1,1.0,1.0,1.3333333333333333
Anantnag,2000,10,0.0,1,1.0,1.0,1.0
Anantnag,2001,2,0.0,1,1.0,1.0,1.0
Anantnag,2001,8,1.0,1,1.0,1.0,1.0
Anantnag,2001,11,3.0,1,1.0,1.0,1.0
Anantnag,2002,3,13.0,1,1.0,1.0,1.0
Anantnag,2002,6,2.0,1,2.0,1.0,1.0
Anantnag,2002,7,2.0,2,1.0,1.0,1.3333333333333333
Anantnag,2002,10,0.0,1,1.0,2.0,1.3333333333333333
Anantnag,2002,11,1.0,1,1.0,1.0,1.3333333333333333
Anantnag,2003,1,1.0,1,1.0,1.0,1.0
Anantnag,2003,5,0.0,1,1.0,1.0,1.0
Anantnag,2003,10,1.0,1,1.0,1.0,1.0
Anantnag,2003,11,1.0,1,1.0,1.0,1.0
Anantnag,2003,12,0.0,1,1.0,1.0,1.0
Anantnag,2004,1,1.0,1,1.0,1.0,1.0
Anantnag,2004,6,0.0,1,2.0,1.0,1.0
Anantnag,2004,7,0.0,2,1.0,1.0,1.3333333333333333
Anantnag,2004,12,0.0,1,1.0,2.0,1.3333333333333333
Anantnag,2005,1,0.0,1,1.0,1.0,1.3333333333333333
Anantnag,2005,5,0.0,1,1.0,1.0,1.0
Anantnag,2006,2,0.0,1,2.0,1.0,1.0
Anantnag,2008,7,0.0,2,1.0,1.0,1.3333333333333333
Anantnag district,1995,6,8.0,1,1.0,1.0,1.0
Anantnag district,1995,11,1.0,1,1.0,1.0,1.0
Anantnag district,1996,10,7.0,1,1.0,1.0,1.0
Anantnag district,1997,3,4.0,1,1.0,1.0,1.0
Anantnag district,2002,11,1.0,1,1.0,1.0,1.0
Anantnag district,2005,1,2.0,1,1.0,1.0,1.0
Awantipora,2002,4,3.0,1,1.0,1.0,1.0
Awantipora,2003,5,1.0,1,2.0,1.0,1.0
Awantipora,2005,6,0.0,2,1.0,1.0,1.3333333333333333
Awantipora,2007,1,2.0,1,1.0,2.0,1.3333333333333333
Awantipora,2007,8,0.0,1,1.0,1.0,1.3333333333333333
Bandipora,1999,7,5.0,1,1.0,1.0,1.0
Bandipora,1999,11,3.0,1,1.0,1.0,1.0
Bandipora,2000,9,1.0,1,1.0,1.0,1.0
Bandipora,2001,11,2.0,1,1.0,1.0,1.0
Bandipora,2001,12,0.0,1,1.0,1.0,1.0
Bandipora,2002,1,1.0,1,1.0,1.0,1.0
Bandipora,2002,9,1.0,1,1.0,1.0,1.0
Bandipora,2002,11,1.0,1,1.0,1.0,1.0
Bandipora,2003,11,1.0,1,1.0,1.0,1.0
Bandipora,2004,4,0.0,1,1.0,1.0,1.0
Bandipora,2006,5,0.0,1,1.0,1.0,1.0
Banihal,2001,11,4.0,1,1.0,1.0,1.0
Banihal,2002,1,6.0,1,1.0,1.0,1.0
Banihal,2003,3,0.0,1,1.0,1.0,1.0
Banihal,2003,9,5.0,1,1.0,1.0,1.0
Baramulla,1991,6,1.0,1,1.0,1.0,1.0
Baramulla,1992,4,1.0,1,1.0,1.0,1.0
Baramulla,1994,4,2.0,1,1.0,1.0,1.0
Baramulla,1996,7,2.0,1,1.0,1.0,1.0
